band	brightness	koef
351.000000	2.686644	0.744423
352.000000	2.506849	0.797814
353.000000	2.614726	0.764898
354.000000	2.546233	0.785474
355.000000	2.760274	0.724566
356.000000	2.702055	0.740177
357.000000	2.566781	0.779186
358.000000	2.835616	0.705314
359.000000	2.700342	0.740647
360.000000	2.563356	0.780227
361.000000	2.643836	0.756477
362.000000	2.585616	0.773510
363.000000	2.643836	0.756477
364.000000	2.628425	0.760912
365.000000	2.690068	0.743475
366.000000	2.628425	0.760912
367.000000	2.535959	0.788656
368.000000	2.789384	0.717004
369.000000	2.703767	0.739709
370.000000	2.881849	0.693999
371.000000	2.885274	0.693175
372.000000	2.852740	0.701080
373.000000	2.647260	0.755498
374.000000	2.691781	0.743003
375.000000	2.688356	0.743949
376.000000	2.571918	0.777630
377.000000	2.601027	0.768927
378.000000	2.613014	0.765400
379.000000	2.688356	0.743949
380.000000	2.703767	0.739709
381.000000	2.799658	0.714373
382.000000	2.616438	0.764398
383.000000	2.529110	0.790792
384.000000	2.520548	0.793478
385.000000	2.655822	0.753063
386.000000	2.864726	0.698147
387.000000	2.676370	0.747281
388.000000	2.539384	0.787593
389.000000	2.722603	0.734591
390.000000	2.780822	0.719212
391.000000	2.631849	0.759922
392.000000	2.652397	0.754035
393.000000	2.693493	0.742530
394.000000	2.520548	0.793478
395.000000	2.839041	0.704463
396.000000	2.832192	0.706167
397.000000	2.628425	0.760912
398.000000	2.544521	0.786003
399.000000	2.445205	0.817927
400.000000	2.705479	0.739241
401.000000	2.642123	0.756967
402.000000	2.719178	0.735516
403.000000	2.808219	0.712195
404.000000	2.625000	0.761905
405.000000	2.539384	0.787593
406.000000	2.731164	0.732288
407.000000	2.827055	0.707450
408.000000	2.753425	0.726368
409.000000	2.577055	0.776080
410.000000	2.583904	0.774023
411.000000	2.655822	0.753063
412.000000	2.695205	0.742058
413.000000	2.803082	0.713500
414.000000	2.669521	0.749198
415.000000	2.720890	0.735053
416.000000	2.904110	0.688679
417.000000	2.628425	0.760912
418.000000	2.936644	0.681050
419.000000	2.648973	0.755010
420.000000	2.844178	0.703191
421.000000	2.618151	0.763898
422.000000	2.738014	0.730457
423.000000	2.450342	0.816212
424.000000	2.796233	0.715248
425.000000	2.842466	0.703614
426.000000	2.751712	0.726820
427.000000	2.392123	0.836077
428.000000	2.851027	0.701502
429.000000	2.426370	0.824277
430.000000	2.623288	0.762402
431.000000	2.734589	0.731371
432.000000	2.712329	0.737374
433.000000	2.465753	0.811111
434.000000	2.666096	0.750161
435.000000	2.803082	0.713500
436.000000	2.895548	0.690716
437.000000	2.625000	0.761905
438.000000	2.676370	0.747281
439.000000	2.835616	0.705314
440.000000	2.606164	0.767411
441.000000	2.458904	0.813370
442.000000	2.722603	0.734591
443.000000	2.660959	0.751609
444.000000	2.833904	0.705740
445.000000	2.438356	0.820225
446.000000	2.756849	0.725466
447.000000	2.684932	0.744898
448.000000	2.700342	0.740647
449.000000	2.683219	0.745373
450.000000	2.635274	0.758934
451.000000	2.744863	0.728634
452.000000	2.660959	0.751609
453.000000	2.919521	0.685044
454.000000	2.708904	0.738306
455.000000	2.655822	0.753063
